StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q38,Q1,Q1_2_TEXT,Q1.1,Q2_1,Q2_1_TEXT,Q2_2,Q2_2_TEXT,Q2_3,Q2_3_TEXT,Q3,Q3_1_TEXT,Q3_8_TEXT,Q36_1,Q36_2,Q36_3,Q37_1,Q37_2,Q37_3,Q4_1,Q4_2,Q4_3,Q4_4,Q11,Q11.1,Q11.2,Q12,Q12.1,Q12.2,Q13,Q13_4_TEXT,Q13.1,Q13.1_4_TEXT,Q13.2,Q13.2_4_TEXT,Q14_1,Q14_2,Q14_3,Q31_1,Q31_2,Q31_3,Q15_1,Q15_2,Q15_3,Q16_1,Q16_2,Q16_3,Q18,Q18.1,Q18.2,Q39
Date de commencement,Date de fin,Type de réponse,Adresse IP,Progrès,Durée (en secondes),Terminé,Date enregistrée,Identifiant de la réponse,Nom du destinataire,Prénom du destinataire,Adresse e-mail du destinataire,Référence externe de données,Latitude de l'emplacement,Longitude de l'emplacement,Canal de distribution,Langue de l'utilisateur,"Can you name the university you work for, please?",Do you partake in the decision-making process of the selection of the case competitions your university participates in? - Selected Choice,"Do you partake in the decision-making process of the selection of the case competitions your university participates in? - No, please provide the name and email of the person in charge - Text","Do you wish to continue this survey, or does the decision-maker should fill it for your university?","On average, how many international competitions does your university participate in each year (per level of education)? If your institution does not participate in competitions at a specific education level, please select '0'. If you are unfamiliar with a certain level, please provide the name and email of the person in corresponding the text box. - Undergraduate","On average, how many international competitions does your university participate in each year (per level of education)? If your institution does not participate in competitions at a specific education level, please select '0'. If you are unfamiliar with a certain level, please provide the name and email of the person in corresponding the text box. - Undergraduate - Text","On average, how many international competitions does your university participate in each year (per level of education)? If your institution does not participate in competitions at a specific education level, please select '0'. If you are unfamiliar with a certain level, please provide the name and email of the person in corresponding the text box. - MBA","On average, how many international competitions does your university participate in each year (per level of education)? If your institution does not participate in competitions at a specific education level, please select '0'. If you are unfamiliar with a certain level, please provide the name and email of the person in corresponding the text box. - MBA - Text","On average, how many international competitions does your university participate in each year (per level of education)? If your institution does not participate in competitions at a specific education level, please select '0'. If you are unfamiliar with a certain level, please provide the name and email of the person in corresponding the text box. - Graduate other than MBA","On average, how many international competitions does your university participate in each year (per level of education)? If your institution does not participate in competitions at a specific education level, please select '0'. If you are unfamiliar with a certain level, please provide the name and email of the person in corresponding the text box. - Graduate other than MBA - Text",Who decides which competitions the university will participate in? (Multiple answers possible) - Selected Choice,"Who decides which competitions the university will participate in? (Multiple answers possible) - Myself, please specify your role in your university: - Text","Who decides which competitions the university will participate in? (Multiple answers possible) - Others, please specify: - Text","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 10, where:  1 = 'Not important at all' and 10 = 'Crucial'. - The location of the competition","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 10, where:  1 = 'Not important at all' and 10 = 'Crucial'. - The moment in the calendar year when the competition is held","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 10, where:  1 = 'Not important at all' and 10 = 'Crucial'. - The registration fee","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 5, where: 1 = 'Not important at all' and 5 = 'Crucial'. - The theme of the competition","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 5, where: 1 = 'Not important at all' and 5 = 'Crucial'. - The duration and number of cases of the competition","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 5, where: 1 = 'Not important at all' and 5 = 'Crucial'. - The quality of cases and feedbacks","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 5, where: 1 = 'Not important at all' and 5 = 'Crucial'. - The reputation of the competition","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 5, where: 1 = 'Not important at all' and 5 = 'Crucial'. - The prospect of winning the competition","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 5, where: 1 = 'Not important at all' and 5 = 'Crucial'. - The social program for students","How important are the following factors in your decision-making process to partake or not in a competition? Consider each factor independently and provide a rating using a scale of 1 to 5, where: 1 = 'Not important at all' and 5 = 'Crucial'. - The social program for coaches","For undergraduate students, how many months in advance do you need to receive an invitation or a letter of interest to consider participating in a new competition?","For MBA students, how many months in advance do you need to receive an invitation or a letter of interest to consider participating in a new competition?","For graduate students other than MBA, how many months in advance do you need to receive an invitation or a letter of interest to consider participating in a new competition?","For undergraduate students, is there a cut-off date for your decision to build your international competition calendar? If so, when is it?","For MBA students, Is there a cut-off date for your decision to build your international competition calendar? If so, when is it?","For graduate students other than MBA, is there a cut-off date for your decision to build your international competition calendar? If so, when is it?","For undergraduate students, how frequently is the decision made for the selection of competitions? - Selected Choice","For undergraduate students, how frequently is the decision made for the selection of competitions? - Other, please specify: - Text","For MBA students, how frequently is the decision made for the selection of competitions? - Selected Choice","For MBA students, how frequently is the decision made for the selection of competitions? - Other, please specify: - Text","For graduates students other than MBA, how frequently is the decision made for the selection of competitions? - Selected Choice","For graduates students other than MBA, how frequently is the decision made for the selection of competitions? - Other, please specify: - Text","For a competition, what is the price range expected to pay if accommodations are provided? - Undergraduate","For a competition, what is the price range expected to pay if accommodations are provided? - MBA","For a competition, what is the price range expected to pay if accommodations are provided? - Graduate other than MBA","For a competition, what is the price range expected if accommodations are not provided? - Undergraduate","For a competition, what is the price range expected if accommodations are not provided? - MBA","For a competition, what is the price range expected if accommodations are not provided? - Graduate other than MBA",How many days should a competition last? - Undergaduate,How many days should a competition last? - MBA,How many days should a competition last? - Graduate other than MBA,How many cases should be solved during a competition? - Undergraduate,How many cases should be solved during a competition? - MBA,How many cases should be solved during a competition? - Graduate other than MBA,When in the calendar year would be the optimal timeframe to add a new competition aimed at undergraduate students (please specify the month):,When in the calendar year would be the optimal timeframe to add a new competition aimed at MBA students (please specify the month):,When in the calendar year would be the optimal timeframe to add a new competition aimed at graduate students other than MBA (please specify the month):,Is there another topic we haven't touched that you would like to provide your input on?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_2_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_1_TEXT""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_2_TEXT""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_3_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_1_TEXT""}","{""ImportId"":""QID9_8_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_4_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_4_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_4_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID39_TEXT""}"
2024-09-04 13:07:58,2024-09-04 13:17:27,Adresse IP,172.225.69.104,100,568,Vrai,2024-09-04 13:17:28,R_2lixUqsrUnT5Lge,,,,,59.9016,10.7343,anonymous,EN,NHH - The Norwegian School of Economics // NHHS Case Club,"Yes, I am part of the group that makes those decisions",,,4,,0,0,0,0,The Case Club (or other students-based groups),,,4,2,3,1,0,5,5,5,2,1,"Ideally, 4-6 months",,,"There is non, all determined by budget",,,Every semester,,"Other, please specify:",,,,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,2 cases,,,"There is a lot in the autumn, but there is potential for more competitions in the spring",,,"For our case club, and many others, travel prices can be the deciding factor for choosing one competition over another. Another important factor for our club is wether or not the competiton is a champions trophy qualifier or not. We will try to prioritize the champions trophy qualifier."
2024-09-04 14:00:52,2024-09-04 14:10:12,Adresse IP,62.232.59.197,100,559,Vrai,2024-09-04 14:10:12,R_24QOlFWjnahJjrj,,,,,51.6211,0.0364,anonymous,EN,University of Otago Business School,"Yes, I am part of the group that makes those decisions",,,,2,,1,,0,Academic advisors,,,2,3,4,3,2,4,2,2,2,1,more than 6,more than 6,,June for the year after,June for the year after,,When someone shows interest in a specific competition,,Every semester,,,,Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,,1-3 days,1-3 days,,2 cases,2 cases,,July,October,,The prospect universities that might participate is also crucial
2024-09-04 18:10:50,2024-09-04 18:17:58,Adresse IP,103.145.154.250,100,428,Vrai,2024-09-04 18:17:59,R_4a5f7z1nnoWSzEB,,,,,3.0537,101.592,anonymous,EN,"Taylor's University, Malaysia","Yes, I am part of the group that makes those decisions",,,10,,,,,,"Students in general,Others, please specify:",,Lecturers & supervisors,4,4,5,4,4,5,4,4,3,3,6 months,6 months,6 months,No,No,No,When someone shows interest in a specific competition,,When someone shows interest in a specific competition,,When someone shows interest in a specific competition,,More than 5000 US$,More than 5000 US$,More than 5000 US$,More than 1500 US$,More than 1500 US$,More than 1500 US$,1-3 days,1-3 days,1-3 days,a single case,a single case,a single case,March,March,March,
2024-09-04 20:44:22,2024-09-04 21:07:00,Adresse IP,116.88.57.139,100,1358,Vrai,2024-09-04 21:07:01,R_4AOPd37NsadOStP,,,,,1.2868,103.8503,anonymous,EN,"National University of Singapore ","Yes, I am part of the group that makes those decisions",,,10,,,0,,0,"The Case Club (or other students-based groups),Academic advisors",,,3,3,3,4,3,5,4,3,3,3,"6 months or more ",,,start of the academic year would be best,,,Once a year,,,,,,less than 3000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,3 cases or more,,,"September-December ",,,
2024-09-04 22:41:23,2024-09-04 22:49:14,Adresse IP,49.231.172.210,100,470,Vrai,2024-09-04 22:49:15,R_4NCItOXvTsWCTJc,,,,,13.9332,100.7502,anonymous,EN,Thammasat University,"Yes, I am part of the group that makes those decisions",,,,7,,0,,0,"Myself, please specify your role in your university:,The Case Club (or other students-based groups),Academic advisors",Case team advisor,,3,5,2,2,,4,3,0,5,0,6 months,N.a.,N.a.,About 6 mths prior. Or at least one semester before.,N.a.,N.a.,Every semester,,When someone shows interest in a specific competition,,When someone shows interest in a specific competition,,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,2 cases,,,Before the semester ends,N.a.,N.a.,"N.a,"
2024-09-04 22:56:45,2024-09-04 23:03:27,Adresse IP,184.22.146.116,100,402,Vrai,2024-09-04 23:03:28,R_4dQAX9xq52XIcky,,,,,13.6671,100.5775,anonymous,EN,Chulalongkorn University,"Yes, I am part of the group that makes those decisions",,,,8,,2,,0,"Myself, please specify your role in your university:,Direction,Academic advisors",Case activity advisor,,4,5,3,3,4,5,4,3,3,0,7,,,No,,,When someone shows interest in a specific competition,,,,,,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,7-9 days,,,2 cases,,,"Late March, Early September",,,
2024-09-05 01:03:51,2024-09-05 01:06:32,Adresse IP,192.248.16.125,100,160,Vrai,2024-09-05 01:06:33,R_4MJuvS4DfNtt2Xw,,,,,6.8758,79.9342,anonymous,EN,University of Cololmbo,"Yes, I am part of the group that makes those decisions",,,,2,,2,,1,The Case Club (or other students-based groups),,,4,4,4,2,1,5,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05 03:02:03,2024-09-05 03:12:19,Adresse IP,112.119.29.130,100,616,Vrai,2024-09-05 03:12:20,R_48K2dxA0VdpELAJ,,,,,22.2908,114.1501,anonymous,EN,"The Chinese University of Hong Kong, Shenzhen","Yes, I'm solely in charge",,,8,,,,,,"Myself, please specify your role in your university:",Associate Professor of Marketing,,1,1,1,1,,3,2,1,2,1,Preferably over 4-6 months,,,No,,,Every semester,,,,,,Between 3000 US$ and 5000 US$,,,Less than 1000 US$,,,4-6 days,,,2 cases,,,"October-November, February-May",,,
